ts(s)	uout	yout	wP	wI	wD	e
          0.273     -0.0092965        0.41187       0.099995       0.099898        0.10002      0.0037388
          0.274     -0.0089166        0.41326       0.099995       0.099898        0.10002      0.0037704
          0.275     -0.0085336        0.41466       0.099995       0.099898        0.10002      0.0038019
          0.276     -0.0081474        0.41605       0.099995       0.099898        0.10002      0.0038334
          0.277      -0.007758        0.41745       0.099995       0.099898        0.10002      0.0038647
          0.278     -0.0073656        0.41884       0.099995       0.099898        0.10002       0.003896
          0.279       -0.00697        0.42023       0.099995       0.099898        0.10002      0.0039272
           0.28     -0.0065714        0.42162       0.099995       0.099898        0.10002      0.0039583
          0.281     -0.0061697        0.42301       0.099995       0.099898        0.10002      0.0039893
          0.282     -0.0057648         0.4244       0.099995       0.099898        0.10002      0.0040203
          0.283     -0.0053569        0.42578       0.099995       0.099898        0.10002      0.0040512
          0.284     -0.0049459        0.42717       0.099995       0.099898        0.10002       0.004082
          0.285     -0.0045319        0.42856       0.099995       0.099898        0.10002      0.0041127
          0.286     -0.0041148        0.42994       0.099995       0.099898        0.10002      0.0041433
          0.287     -0.0036947        0.43132       0.099995       0.099898        0.10002      0.0041738
          0.288     -0.0032715        0.43271       0.099995       0.099898        0.10002      0.0042043
          0.289     -0.0028453        0.43409       0.099995       0.099898        0.10002      0.0042347
           0.29     -0.0024161        0.43547       0.099995       0.099898        0.10002       0.004265
          0.291     -0.0019839        0.43685       0.099995       0.099898        0.10002      0.0042951
          0.292     -0.0015487        0.43822       0.099995       0.099898        0.10002      0.0043252
          0.293     -0.0011105         0.4396       0.099995       0.099898        0.10002      0.0043552
          0.294    -0.00066931        0.44098       0.099995       0.099898        0.10002      0.0043851
          0.295    -0.00022516        0.44235       0.099995       0.099898        0.10002       0.004415
          0.296     0.00022195        0.44373       0.099995       0.099898        0.10002      0.0044447
          0.297     0.00067202         0.4451       0.099995       0.099898        0.10002      0.0044743
          0.298       0.001125        0.44647       0.099995       0.099898        0.10002      0.0045039
          0.299       0.001581        0.44784       0.099995       0.099898        0.10002      0.0045333
            0.3      0.0020398        0.44921       0.099995       0.099898        0.10002      0.0045627
          0.301      0.0025016        0.45058       0.099995       0.099898        0.10002      0.0045919
          0.302      0.0029663        0.45195       0.099995       0.099898        0.10002      0.0046211
          0.303      0.0034339        0.45332       0.099995       0.099898        0.10002      0.0046501
          0.304      0.0039043        0.45469       0.099995       0.099898        0.10002      0.0046791
          0.305      0.0043777        0.45605       0.099995       0.099898        0.10002       0.004708
          0.306      0.0048539        0.45741       0.099995       0.099898        0.10002      0.0047368
          0.307      0.0053329        0.45878       0.099995       0.099898        0.10002      0.0047654
          0.308      0.0058148        0.46014       0.099995       0.099898        0.10002       0.004794
          0.309      0.0062996         0.4615       0.099995       0.099898        0.10002      0.0048225
           0.31      0.0067871        0.46286       0.099995       0.099898        0.10002      0.0048508
          0.311      0.0072775        0.46422       0.099995       0.099898        0.10002      0.0048791
          0.312      0.0077707        0.46558       0.099995       0.099898        0.10002      0.0049072
          0.313      0.0082666        0.46693       0.099995       0.099898        0.10002      0.0049352
          0.314      0.0087654        0.46829       0.099995       0.099898        0.10002      0.0049632
          0.315      0.0092669        0.46964       0.099995       0.099898        0.10002       0.004991
          0.316      0.0097712          0.471       0.099995       0.099898        0.10002      0.0050187
          0.317       0.010278        0.47235       0.099995       0.099898        0.10002      0.0050464
          0.318       0.010788         0.4737       0.099995       0.099899        0.10002      0.0050739
          0.319         0.0113        0.47505       0.099995       0.099899        0.10002      0.0051013
           0.32       0.011816         0.4764       0.099995       0.099899        0.10002      0.0051286
          0.321       0.012334        0.47775       0.099995       0.099899        0.10002      0.0051558
          0.322       0.012854         0.4791       0.099995       0.099899        0.10002      0.0051829
          0.323       0.013378        0.48044       0.099995       0.099899        0.10002      0.0052098
          0.324       0.013903        0.48179       0.099995       0.099899        0.10002      0.0052367
          0.325       0.014432        0.48313       0.099995       0.099899        0.10002      0.0052634
          0.326       0.014963        0.48447       0.099995       0.099899        0.10002      0.0052901
          0.327       0.015497        0.48582       0.099995       0.099899        0.10002      0.0053166
          0.328       0.016034        0.48716       0.099995       0.099899        0.10002       0.005343
          0.329       0.016573         0.4885       0.099995       0.099899        0.10002      0.0053693
           0.33       0.017115        0.48983       0.099995       0.099899        0.10002      0.0053955
          0.331       0.017659        0.49117       0.099995         0.0999        0.10002      0.0054215
          0.332       0.018206        0.49251       0.099995         0.0999        0.10002      0.0054475
          0.333       0.018756        0.49384       0.099995         0.0999        0.10002      0.0054733
          0.334       0.019308        0.49518       0.099995         0.0999        0.10002       0.005499
          0.335       0.019862        0.49651       0.099995         0.0999        0.10002      0.0055247
          0.336       0.020419        0.49784       0.099995         0.0999        0.10002      0.0055501
          0.337       0.020979        0.49917       0.099995         0.0999        0.10002      0.0055755
          0.338       0.021541         0.5005       0.099995         0.0999        0.10002      0.0056008
          0.339       0.022106        0.50183       0.099995       0.099901        0.10002      0.0056258
           0.34       0.022673        0.50316       0.099995       0.099901        0.10002      0.0056509
          0.341       0.023243        0.50448       0.099995       0.099901        0.10002      0.0056758
          0.342       0.023815        0.50581       0.099995       0.099901        0.10002      0.0057006
          0.343        0.02439        0.50713       0.099995       0.099901        0.10002      0.0057252
          0.344       0.024967        0.50845       0.099995       0.099901        0.10002      0.0057498
          0.345       0.025546        0.50978       0.099995       0.099901        0.10002      0.0057741
          0.346       0.026128         0.5111       0.099995       0.099902        0.10002      0.0057984
          0.347       0.026712        0.51242       0.099995       0.099902        0.10002      0.0058226
          0.348       0.027299        0.51373       0.099995       0.099902        0.10002      0.0058467
          0.349       0.027888        0.51505       0.099995       0.099902        0.10002      0.0058706
           0.35       0.028479        0.51637       0.099995       0.099902        0.10002      0.0058944
          0.351       0.029073        0.51768       0.099995       0.099903        0.10002      0.0059181
          0.352       0.029669        0.51899       0.099995       0.099903        0.10002      0.0059416
          0.353       0.030268        0.52031       0.099995       0.099903        0.10002      0.0059651
          0.354       0.030868        0.52162       0.099995       0.099903        0.10002      0.0059884
          0.355       0.031471        0.52293       0.099995       0.099903        0.10002      0.0060115
          0.356       0.032077        0.52424       0.099995       0.099904        0.10002      0.0060346
          0.357       0.032684        0.52554       0.099995       0.099904        0.10002      0.0060576
          0.358       0.033294        0.52685       0.099995       0.099904        0.10002      0.0060803
          0.359       0.033906        0.52816       0.099995       0.099904        0.10002       0.006103
           0.36       0.034521        0.52946       0.099995       0.099905        0.10002      0.0061256
          0.361       0.035137        0.53076       0.099995       0.099905        0.10002       0.006148
          0.362       0.035756        0.53206       0.099995       0.099905        0.10002      0.0061703
          0.363       0.036377        0.53336       0.099995       0.099905        0.10002      0.0061924
          0.364          0.037        0.53466       0.099995       0.099906        0.10002      0.0062145
          0.365       0.037626        0.53596       0.099995       0.099906        0.10002      0.0062364
          0.366       0.038253        0.53726       0.099995       0.099906        0.10002      0.0062582
          0.367       0.038883        0.53855       0.099995       0.099907        0.10002      0.0062799
          0.368       0.039515        0.53985       0.099995       0.099907        0.10002      0.0063014
          0.369       0.040149        0.54114       0.099995       0.099907        0.10002      0.0063228
           0.37       0.040785        0.54243       0.099995       0.099908        0.10002      0.0063441
          0.371       0.041423        0.54372       0.099995       0.099908        0.10002      0.0063652
          0.372       0.042064        0.54501       0.099995       0.099908        0.10002      0.0063862
          0.373       0.042706         0.5463       0.099995       0.099909        0.10002      0.0064071
          0.374        0.04335        0.54759       0.099995       0.099909        0.10002      0.0064279
          0.375       0.043997        0.54887       0.099995       0.099909        0.10002      0.0064485
          0.376       0.044645        0.55016       0.099995        0.09991        0.10002       0.006469
          0.377       0.045296        0.55144       0.099995        0.09991        0.10002      0.0064894
          0.378       0.045949        0.55272       0.099995        0.09991        0.10002      0.0065096
          0.379       0.046603          0.554       0.099995       0.099911        0.10002      0.0065297
           0.38        0.04726        0.55528       0.099995       0.099911        0.10002      0.0065497
          0.381       0.047918        0.55656       0.099995       0.099912        0.10002      0.0065695
